item_code,item_name,category,unit_cost,unit_price,units_in_stock,volume_m3,order_frequency,avg_delivery_days,stockout_days_per_year,avg_days_in_stock,monthly_sales_jan,monthly_sales_feb,monthly_sales_mar,monthly_sales_apr,monthly_sales_may,monthly_sales_jun,monthly_sales_jul,monthly_sales_aug,monthly_sales_sep,monthly_sales_oct,monthly_sales_nov,monthly_sales_dec
ITM001,Indomie Goreng,Makanan Instan,2500,3500,500,0.002,48,2,5,10,480,460,490,470,500,510,480,470,460,490,500,520
ITM002,Indomie Kuah,Makanan Instan,2500,3500,480,0.002,48,2,3,8,440,430,450,440,460,470,445,430,425,445,455,465
ITM003,Minyak Goreng Bimoli 2L,Minyak & Lemak,28000,34000,120,0.004,12,5,15,25,100,95,105,98,110,108,102,96,99,104,107,112
ITM004,Gula Pasir 1kg,Bahan Pokok,13000,16000,200,0.001,24,3,8,12,180,175,185,178,190,188,182,174,177,183,187,192
ITM005,Beras Premium 5kg,Bahan Pokok,68000,78000,80,0.005,12,4,20,30,70,68,72,69,75,74,71,67,69,73,74,76
ITM006,Teh Botol Sosro 350ml,Minuman,4500,6500,300,0.001,36,2,4,7,280,270,290,275,295,300,285,268,272,282,292,305
ITM007,Aqua 600ml,Minuman,3000,4500,600,0.0005,52,1,2,5,550,530,560,540,570,575,555,528,535,548,558,572
ITM008,Sabun Lifebuoy,Perawatan Diri,4500,6500,250,0.0003,24,3,6,9,220,215,225,218,228,226,221,214,217,222,226,230
ITM009,Shampo Pantene 180ml,Perawatan Diri,18000,24000,150,0.0004,12,4,10,18,120,115,125,118,128,126,121,114,117,122,126,130
ITM010,Pasta Gigi Pepsodent,Perawatan Diri,8500,12000,180,0.0003,24,3,7,14,155,150,160,153,163,161,156,149,152,157,161,165
ITM011,Kecap Manis ABC 135ml,Bumbu Dapur,8000,11000,160,0.0002,24,4,9,16,138,133,143,136,146,144,139,132,135,140,144,148
ITM012,Saos Sambal Indofood,Bumbu Dapur,7500,10500,140,0.0002,24,4,8,14,118,113,123,116,126,124,119,112,115,120,124,128
